Index,Structure,MW,#Atoms,SlogP,TPSA,Flexibility,#RB,HBA,HBD,Rof5,LF Rank Score,LF dG,LF VSscore,LF LE,Unnamed: 15,Unnamed: 16
540,O=C(NCCC[NH+](C)C)c1c2ccccn2c(n1)-c3c(OC)ccc(OC)c3,383.5,28,2.7,69.3,5.3,8,7,2,0,-5.65590408872492,-5.51456597748718,-9.68574051755327,-0.239682319930959,,
30,O=C(NCCC[NH+](C)C)c1c(OCc2c(onc2C)C)non1,324.4,23,-0.2,107.7,6.8,8,9,2,0,-7.13744643903132,-9.12880795913144,0.428271332688686,-0.0289527999024639,,
458,O=C(Nc1ccc2c(ncn2CC[NH+](C)C)c1)c3cc([nH]n3)-c4c(nn(c4C)CC)C,421.5,31,3.1,97.9,4.6,7,9,3,0,-10.7842174235504,-12.8170128780183,-12.1684540732165,-0.220645427890948,,
28,O=C(NCCC[NH+](CC)CC)c1c(OCc2c(onc2C)C)non1,352.4,25,0.6,107.7,8.8,10,9,2,0,-9.85390965715429,-9.75277552055102,-3.96010542069963,-0.100337363563227,,
90,O=C(NCCC[NH+](CC)CC)c1c[nH]nc1-c2cc(c(cc2C)C)C,343.5,25,3.5,62.2,6.3,8,5,3,0,-2.20574221510231,1.04370444722136,-10.6531327390586,-0.274884916929388,,
522,O=C(NCCC[NH+](C)C)c1nc(c2ccccn12)C(=O)Nc3cccc(OC)c3,396.5,29,2.3,89.2,5.3,8,8,3,0,-8.07653596009667,-9.90461486419078,-10.2494075584735,-0.208217614062344,,
514,O=C(Nc1cccc(OC)c1)c2nc(c3ccccn23)C(=O)NCCC[NH+](C)C,396.5,29,2.3,89.2,5.3,8,8,3,0,-8.62385289559525,-10.1320625545336,-10.5637885354214,-0.20316295756238,,
10,O=C(NCCC[NH+](CC)CC)c1c2Cc3cc(OC)c(OC)cc3-c2n(n1)C,387.5,28,2.5,69.8,7.3,9,7,2,0,-5.65713769625068,-5.40785821383005,-10.2200698347477,-0.235629123629814,,
582,Clc1cc2COCOc2c(COc3c(non3)C(=O)NCCC[NH+](CC)CC)c1,425.9,29,2.1,100.2,9.2,10,9,2,0,-12.9520651357101,-12.2745373655262,-12.0556512595177,-0.192863124173431,,
72,O=C(NCCC[NH+](CC)CC)c1c(OCc2cnnn2Cc3ccccc3)non1,414.5,30,1.2,112.4,10.8,12,10,2,0,-13.7992974273192,-15.1275488585262,-10.6441193377723,-0.216656627737891,,
102,O=C(NCCC[NH+](CC)CC)c1c[nH]nc1-c2ccc(OC)cc2OC,361.5,26,2.6,80.7,7.3,10,7,3,0,-7.15550310242422,-3.64029937539532,-10.3195176607577,-0.265411954251533,,
148,O=C(NCCC[NH+](CC)CC)c1c[nH]nc1-c2ccc(OC)c(OC)c2,361.5,26,2.6,80.7,7.3,10,7,3,0,-6.23574720083263,-3.5659818393269,-10.5740635475967,-0.2477096678428,,
642,O=C1c2ccc(OC)cc2OC(=C1c3ccc(OC)c(OC)c3)C(=O)NCCC[NH+](CC)CC,469.6,34,3.5,87.5,7.9,11,8,2,0,-13.5436984752041,-11.8194040110177,-18.1585021157035,-0.304053068555698,,
644,O=C1c2ccc(OCC)cc2OC(=C1c3ccc(OC)c(OC)c3)C(=O)NCCC[NH+](CC)CC,483.6,35,3.9,87.5,8.9,12,8,2,0,-13.9379642793656,-12.7997466504076,-20.1617234861253,-0.337518355077505,,
600,O=C(NCCC[NH+](C)C)c1nc(c2ccccn12)C(=O)Nc3ccccc3C(OC)=O,424.5,31,2.1,106.2,5,8,9,3,0,-11.9020408651546,-14.8837277465996,-11.1395562873211,-0.18188605693574,,
598,O=C(NCCC[NH+](C)C)c1nc(c2ccccn12)C(=O)Nc3ccccc3C(OCC)=O,438.5,32,2.4,106.2,6,9,9,3,0,-13.0819022223003,-15.1266678674557,-13.8593636663657,-0.212757190210514,,
174,O=C(Nc1ccc2c(nc(n2C)CCc3ccccc3)c1)c4c5c([nH]n4)-c6ccc(OC)cc6CC5,477.6,36,5.1,84.8,4.2,6,7,2,1,-11.4826867349497,-10.2921332178602,-18.586366423693,-0.340095322105481,,
